id,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Downtown,PerCapitaIncome,most_freq_aspect
2093695,Private room,51.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,0.72,10072.3475886985,79949,attr_trans
2096756,Entire home/apt,47.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.69,7365.790067622859,75581,nbhd
2104437,Private room,44.0,95.0,9.0,9.0,9.0,10.0,10.0,9.0,0.8,1136.33581000179,42152,nature
2105840,Private room,95.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.34,4129.065376787489,84345,comm
2111361,Entire home/apt,95.0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1.34,2316.68049673651,64305,comm
2119773,Entire home/apt,359.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,5.11,9505.12767262557,30479,bedroom
2123469,Private room,194.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,2.84,6074.25842708231,68111,nbhd
2124182,Entire home/apt,107.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.57,3758.3836689932,70132,nbhd
2126868,Private room,228.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,3.23,8756.649383295971,79949,comm
2130640,Entire home/apt,20.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.29,3774.788025229,83480,bedroom
2134475,Private room,389.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.55,4218.76637494649,121592,facil
2139562,Private room,137.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,2.13,8848.9263847036,72222,kitchen
2140313,Entire home/apt,27.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.39,1591.056086882,91842,attr_trans
2154122,Entire home/apt,20.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0.29,8095.5489344509915,75119,bldg
2160504,Private room,305.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,4.42,8145.310080042529,45038,bldg
2166428,Entire home/apt,144.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2.05,5115.89390806898,98656,int_style
2169208,Entire home/apt,59.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0.9,4237.7681203789,84016,nbhd
2172308,Entire home/apt,105.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.54,3262.24600303237,117804,attr_trans
2175930,Entire home/apt,119.0,98.0,10.0,10.0,10.0,9.0,10.0,10.0,1.95,5157.74477728415,84845,nbhd
2177440,Private room,36.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0.69,5501.0551767447705,103534,nbhd
2178509,Private room,405.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.81,6081.695218632939,69778,bldg
2188233,Entire home/apt,1.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,977.519368901915,132729,attr_trans
2188308,Entire home/apt,4.0,100.0,10.0,10.0,9.0,9.0,10.0,9.0,0.08,807.120211757898,132729,facil
2188507,Entire home/apt,1.0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0.03,938.5752178893301,132729,facil
2188561,Entire home/apt,28.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.4,3607.6451566980395,45200,facil
2188959,Entire home/apt,5.0,92.0,9.0,8.0,10.0,9.0,10.0,8.0,0.07,4048.3824617601,110777,int_style
2188976,Private room,257.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,3.67,3425.68961602498,63187,bedroom
2189514,Entire home/apt,30.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.43,2975.57146312832,115985,attr_trans
2189814,Entire home/apt,10.0,92.0,10.0,8.0,10.0,10.0,10.0,10.0,0.14,4420.043581489221,112158,bldg
2202505,Entire home/apt,36.0,91.0,10.0,8.0,10.0,10.0,10.0,9.0,0.52,4194.23437830836,46881,nbhd
2203283,Private room,349.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,4.97,6322.74870806813,63457,attr_trans
2209353,Entire home/apt,1.0,80.0,6.0,10.0,10.0,10.0,10.0,10.0,0.03,1252.9659090499902,94296,facil
2209751,Private room,214.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,4.71,3921.0685701064704,82570,attr_trans
2219978,Private room,9.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.13,1598.20127277586,75305,bldg
2221057,Entire home/apt,101.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.12,10684.1472995984,48654,kitchen
2223743,Entire home/apt,169.0,92.0,10.0,9.0,10.0,10.0,9.0,9.0,2.55,6360.36477401932,60417,comm
2233416,Entire home/apt,27.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.39,3021.7617722627397,85297,attr_trans
2234256,Entire home/apt,13.0,88.0,10.0,9.0,8.0,9.0,10.0,10.0,0.19,9060.368896262491,41389,attr_trans
2236226,Entire home/apt,93.0,94.0,9.0,9.0,9.0,10.0,10.0,9.0,1.31,1043.30709643944,103098,bedroom
2238488,Entire home/apt,40.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.6,7223.31457160277,79636,nbhd
2244652,Entire home/apt,96.0,89.0,9.0,9.0,10.0,9.0,10.0,8.0,1.36,902.614978967025,103098,bedroom
2254431,Entire home/apt,44.0,98.0,10.0,9.0,10.0,10.0,10.0,9.0,0.65,9949.16412365978,44345,attr_trans
2257205,Entire home/apt,41.0,89.0,9.0,9.0,9.0,9.0,10.0,9.0,0.78,3119.3872327643703,167720,nbhd
2263794,Private room,141.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,4.44,6415.82885926745,24593,facil
2272343,Entire home/apt,182.0,95.0,9.0,9.0,10.0,10.0,10.0,9.0,2.61,4688.9911403446995,71862,facil
2274353,Entire home/apt,245.0,95.0,10.0,10.0,10.0,10.0,9.0,10.0,3.54,8094.70324484764,45038,nature
2277754,Private room,109.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.56,4777.2680703009,50836,comm
2279254,Private room,14.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,1141.05643219592,48458,facil
2298930,Private room,48.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.78,3918.25833806257,121592,comm
2299196,Entire home/apt,24.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0.35,2891.18843105765,91171,comm
2302408,Entire home/apt,52.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8,8052.68604626957,46444,kitchen
2305039,Entire home/apt,85.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.46,3624.24065343008,55997,attr_trans
2310518,Private room,4.0,90.0,10.0,9.0,10.0,10.0,9.0,9.0,0.06,6326.45902374229,63457,nbhd
2310765,Entire home/apt,21.0,99.0,10.0,9.0,10.0,10.0,10.0,9.0,0.3,1394.7275535156198,78479,nature
2311428,Entire home/apt,8.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.52,5394.48855736684,72179,nbhd
2314849,Entire home/apt,7.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,0.1,4295.827581395,101130,nature
2315086,Private room,309.0,98.0,10.0,9.0,10.0,10.0,10.0,10.0,4.48,4216.930469831021,84016,bldg
2316478,Entire home/apt,129.0,95.0,9.0,9.0,10.0,10.0,10.0,9.0,1.88,10201.535290416801,44345,int_style
2326228,Entire home/apt,30.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.43,5145.847029179629,61740,nature
2337552,Entire home/apt,2.0,100.0,9.0,10.0,10.0,10.0,10.0,9.0,0.04,1217.65257421114,52422,facil
2349483,Private room,249.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,4.05,3729.01770960252,125379,kitchen
2355859,Entire home/apt,81.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.19,3427.1628140086,118479,bldg
2356554,Entire home/apt,255.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,3.73,6794.24164995951,48868,bldg
2362619,Entire home/apt,71.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.02,4434.96009280629,46881,nbhd
2366182,Entire home/apt,23.0,87.0,9.0,9.0,9.0,9.0,9.0,8.0,0.34,1463.8708132486802,93901,comm
2374267,Entire home/apt,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.15,7679.3182650421495,75119,bldg
2374361,Entire home/apt,17.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.26,6460.9188141124705,91168,nbhd
2387068,Private room,82.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.2,9246.9121552009,72222,bldg
2391772,Entire home/apt,57.0,87.0,9.0,8.0,9.0,9.0,10.0,8.0,0.83,4348.71651727969,84345,nature
2396847,Entire home/apt,339.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,5.1,7211.77554221943,59125,kitchen
2397852,Entire home/apt,96.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.91,9316.737546000179,44345,bldg
2397858,Entire home/apt,58.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.24,9199.668864671079,103632,nbhd
2412158,Entire home/apt,37.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,0.92,5733.611156659921,102588,bldg
2420887,Entire home/apt,39.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3.84,4386.19031419358,84345,int_style
2423948,Entire home/apt,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,876.572041454693,132729,attr_trans
2432104,Private room,51.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,0.74,9615.03165120467,79949,attr_trans
2436213,Private room,23.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.35,8030.13598530873,67198,comm
2455313,Entire home/apt,62.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.91,5934.54585756151,72179,bldg
2455325,Entire home/apt,190.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,2.75,5943.64867418573,75192,comm
2460904,Entire home/apt,41.0,93.0,10.0,9.0,10.0,10.0,9.0,10.0,0.61,1197.30004595623,132729,attr_trans
2465543,Entire home/apt,18.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.28,8985.084876669891,71145,bldg
2468125,Private room,14.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.23,1181.92456828502,48458,comm
2469485,Entire home/apt,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09,3379.5871198663103,88425,nature
2471457,Private room,214.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,3.22,4552.44127823859,112158,bldg
2477409,Entire home/apt,6.0,90.0,9.0,10.0,10.0,9.0,9.0,9.0,0.09,3044.7560756674798,74516,int_style
2477787,Entire home/apt,2.0,100.0,9.0,10.0,10.0,10.0,10.0,10.0,0.63,7412.552840053991,111386,nature
2478558,Private room,7.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.11,1041.0383644306098,52422,facil
2482884,Private room,46.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.71,5952.613903595029,93619,nbhd
2483759,Private room,140.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,2.11,4052.23808837659,82299,comm
2486953,Entire home/apt,127.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.92,5487.88700165545,115779,nature
2488520,Shared room,93.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1.44,1845.3734917357501,59622,kitchen
2488837,Entire home/apt,65.0,94.0,10.0,9.0,9.0,10.0,9.0,9.0,0.95,7079.272202800641,48868,nbhd
2496086,Entire home/apt,231.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,3.84,7483.230494353621,35650,attr_trans
2496719,Entire home/apt,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.06,4024.3790529595794,96475,int_style
2499257,Entire home/apt,20.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0.32,4217.56508087736,84016,int_style
2500662,Entire home/apt,4.0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0.06,6149.028993239929,60417,bedroom
2502368,Private room,77.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1.16,4873.7234127736,50836,bldg
2502543,Entire home/apt,24.0,93.0,10.0,9.0,10.0,9.0,9.0,9.0,0.36,4887.05219547696,53640,bedroom
2503408,Entire home/apt,35.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.64,2473.15155699813,122738,bldg
2509236,Private room,38.0,92.0,10.0,9.0,10.0,10.0,10.0,10.0,0.84,9712.349692985359,79949,nbhd
2510224,Private room,22.0,89.0,10.0,8.0,9.0,9.0,9.0,9.0,0.37,7072.625292874391,52263,comm
